axis,multiplicity_bin,quantity,data,data_err,mc,mc_err,data_over_mc,data_over_mc_err
beam,0_10,hV2_2,0.7046796669,0.0001206944929,0.7068429258,0.0001468882765,0.9969395479,0.0002684710527
beam,10_15,hV2_2,0.6107351227,0.0002212954793,0.6138609669,0.0002076418516,0.9949078955,0.0004931664179
beam,15_20,hV2_2,0.4989438222,0.0009092074304,0.5025831839,0.0008647274419,0.9927586879,0.002488042876
beam,20_25,hV2_2,0.4067995107,0.009471714643,0.4096113339,0.01092654213,0.9931353872,0.03516453312
beam,25_30,hV2_2,0,0,0,0,0,0
beam,30_35,hV2_2,0,0,0,0,0,0
beam,35_40,hV2_2,0,0,0,0,0,0
beam,40_999,hV2_2,0,0,0,0,0,0
beam,0_10,hV2_4,0.6921041235,0.0001237717596,0.6941928978,0.000163470306,0.996991075,0.0002948020697
beam,10_15,hV2_4,0.5759551035,0.0002810211773,0.5789629889,0.0002319645049,0.9948047017,0.0006280617757
beam,15_20,hV2_4,0.4325544247,0.001898146982,0.4349209341,0.00148276764,0.9945587595,0.005526716769
beam,20_25,hV2_4,0.3031535782,0.02556185654,0.3227431574,0.01223267925,0.939302883,0.08683554365
beam,25_30,hV2_4,0,0,0,0,0,0
beam,30_35,hV2_4,0,0,0,0,0,0
beam,35_40,hV2_4,0,0,0,0,0,0
beam,40_999,hV2_4,0,0,0,0,0,0
beam,0_10,hV2_6,0.6909444286,0.0001257820819,0.6930363804,0.000163857593,0.996981469,0.0002974968355
beam,10_15,hV2_6,0.5707264722,0.0003101386709,0.5737045969,0.0002447876748,0.9948089579,0.0006873184928
beam,15_20,hV2_6,0.4219978612,0.002108259858,0.4244722908,0.001760042614,0.9941705744,0.006454600414
beam,20_25,hV2_6,0.2481716329,0.1064853533,0.3095144642,0.01503411031,0.8018094844,0.3462374065
beam,25_30,hV2_6,0,0,0,0,0,0
beam,30_35,hV2_6,0,0,0,0,0,0
beam,35_40,hV2_6,0,0,0,0,0,0
beam,40_999,hV2_6,0,0,0,0,0,0
beam,0_10,hV2_8,0.6907355455,0.0001257898609,0.6928273172,0.0001634382307,0.9969808181,0.0002971154209
beam,10_15,hV2_8,0.5697748574,0.0003165419708,0.5727583535,0.0002485984078,0.9947910038,0.0007013318747
beam,15_20,hV2_8,0.4198591881,0.002194659184,0.4223124759,0.001863746222,0.9941908234,0.006801251434
beam,20_25,hV2_8,0,0,0.3091390228,0.015841809,0,0
beam,25_30,hV2_8,0,0,0,0,0,0
beam,30_35,hV2_8,0,0,0,0,0,0
beam,35_40,hV2_8,0,0,0,0,0,0
beam,40_999,hV2_8,0,0,0,0,0,0
